name,dividend_yield_ttm,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,price,gdp_per_capita_usd,gdp_growth_percent,inflation_percent,interest_rate_percent,unemployment_rate_percent,exchange_rate_to_usd,inflation,interest_rate,unemployment,pc_class
LianBio,0.011457241119139,United States,-111331456.7,33571032.5025353,-0.403797,0.0,0.310661683244,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
LMP Automotive Holdings,0.0730435273128823,United States,1501805.843,1859139.74852704,-0.150943,407057426.9408,0.15581777216,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
MBIA,0.0001605395754134,United States,-847380300.0,177905876.27031296,-0.710317,-61348800.0,3.48642265208,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
TRxADE HEALTH,0.0010414104817333,United States,-25752692.52,12935753.822620654,-1.53333,5660903.0055,7.39160556684,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Merrimack Pharmaceuticals,5.853904608277199e-05,United States,-2887227.9,217899951.0679417,-137.545,0.0,14.73451807988,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Tourmaline Bio,1.258187377725776e-05,United States,-70533226.6,614290562.5051129,-25.8068,0.0,23.956982469600003,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Méliuz,0.0001230093506794,Brazil,191821.0823,62396254.94811816,-6.5384,85337227.5639,0.7158054203593681,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
LENZ Therapeutics,1.1879585615329147e-05,United States,-77335274.8,645348971.1044593,-8.77295,0.0,23.4700519316,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
B. Riley Financial,4.7941026104028384e-05,United States,-60749371.1,150762451.5235954,3.23476,1986860130.2,4.97643009836,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
FutureFuel,2.6077923616722737e-05,United States,52169485.8,238949233.6730412,5.91579,433852323.1,5.4600495087016006,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Ecopetrol,2.563184781375232e-07,Colombia,9968643198.0,17999616295.804615,3.26372,42959673522.8417,8.7554006176704,7.5,1.3,5.0,13.25,10.5,4200.0,-5.0,-13.25,-10.5,0
Spirit Airlines,1.613554836729473e-05,United States,-809749201.7,259705687.93892032,-0.497959,6552472334.9,2.37135172006,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Icahn Enterprises,6.346554502208108e-07,United States,-807759200.0,6144473650.455903,-5.0814,14059100000.0,12.92313647852,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
MarketWise,0.0001372419954644,United States,73810275.0,25748255.78746276,23.603,552576310.2,0.66222553168,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Allied Tecnologia,2.790145121815679e-05,Brazil,64641057.79,125018246.9982088,10.3934,1423985990.6441,1.3323393380756,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Diversified Energy,6.569823924441425e-06,United States,1278534554.0,520204532.1618835,0.0,1109726940.3,10.7247424855576,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Saga Communications,3.5594092203339377e-05,United States,10870240.5,88418265.03176665,10.518,142763770.0,14.120985602,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Softchoice,3.998438643132075e-06,Canada,89970571.4,776637068.1550623,27.5943,974895058.9,12.8733721775364,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Office Properties Income Trust,2.754912272956757e-05,United States,45246018.1,112207299.315644,-3.98148,677718915.5,2.1034425380524,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Big 5 Sporting Goods,6.029438434592093e-05,United States,-44667038.8,47494846.29564404,12.4706,1060171169.0,2.0914640468176,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
